telepules,tipus
Madaras,LHHK
Mátételke,LHHK
Tataháza,LHHK
Abaújlak,LHHK
Abaújszolnok,LHHK
Alsóvadász,LHHK
Aszaló,LHHK
Felsődobsza,LHHK
Felsővadász,LHHK
Gadna,LHHK
Gagybátor,LHHK
Gagyvendégi,LHHK
Halmaj,LHHK
Hernádkércs,LHHK
Homrogd,LHHK
Kázsmárk,LHHK
Kiskinizs,LHHK
Kupa,LHHK
Léh,LHHK
Monaj,LHHK
Nagykinizs,LHHK
Nyésta,LHHK
Rásonysápberencs,LHHK
Selyeb,LHHK
Szentistvánbaksa,LHHK
Szikszó,LHHK
Arló,LHHK
Bánréve,LHHK
Borsodbóta,LHHK
Borsodnádasd,LHHK
Borsodszentgyörgy,LHHK
Bükkmogyorósd,LHHK
Csernely,LHHK
Csokvaomány,LHHK
Domaháza,LHHK
Dubicsány,LHHK
Farkaslyuk,LHHK
Gömörszőlős,LHHK
Hangony,LHHK
Hét,LHHK
Járdánháza,LHHK
Kelemér,LHHK
Királd,LHHK
Kissikátor,LHHK
Lénárddaróc,LHHK
Nekézseny,LHHK
Ózd,LHHK
Putnok,LHHK
Sajómercse,LHHK
Sajónémeti,LHHK
Sajópüspöki,LHHK
Sajóvelezd,LHHK
Sáta,LHHK
Serényfalva,LHHK
Uppony,LHHK
Abod,LHHK
Aggtelek,LHHK
Balajt,LHHK
Becskeháza,LHHK
Bódvalenke,LHHK
Bódvarákó,LHHK
Bódvaszilas,LHHK
Boldva,LHHK
Borsodszirák,LHHK
Damak,LHHK
Debréte,LHHK
Edelény,LHHK
Égerszög,LHHK
Galvács,LHHK
Hangács,LHHK
Hegymeg,LHHK
Hidvégardó,LHHK
Irota,LHHK
Jósvafő,LHHK
Komjáti,LHHK
Ládbesenyő,LHHK
Lak,LHHK
Martonyi,LHHK
Meszes,LHHK
Nyomár,LHHK
Perkupa,LHHK
Rakaca,LHHK
Rakacaszend,LHHK
Szakácsi,LHHK
Szalonna,LHHK
Szendrő,LHHK
Szendrőlád,LHHK
Szin,LHHK
Szinpetri,LHHK
Szögliget,LHHK
Szőlősardó,LHHK
Szuhogy,LHHK
Teresztenye,LHHK
Tomor,LHHK
Tornabarakony,LHHK
Tornakápolna,LHHK
Tornanádaska,LHHK
Tornaszentandrás,LHHK
Tornaszentjakab,LHHK
Varbóc,LHHK
Viszló,LHHK
Ziliz,LHHK
Átány,LHHK
Boconád,LHHK
Erdőtelek,LHHK
Erk,LHHK
Heves,LHHK
Hevesvezekény,LHHK
Kisköre,LHHK
Kömlő,LHHK
Pély,LHHK
Tarnabod,LHHK
Tarnaméra,LHHK
Tarnaörs,LHHK
Tarnaszentmiklós,LHHK
Tarnazsadány,LHHK
Tenk,LHHK
Tiszanána,LHHK
Zaránk,LHHK
Ág,LHHK
Alsómocsolád,LHHK
Bakóca,LHHK
Baranyajenő,LHHK
Baranyaszentgyörgy,LHHK
Bikal,LHHK
Felsőegerszeg,LHHK
Gerényes,LHHK
Gödre,LHHK
Kisbeszterce,LHHK
Kishajmás,LHHK
Kisvaszar,LHHK
Mágocs,LHHK
Mekényes,LHHK
Meződ,LHHK
Mindszentgodista,LHHK
Nagyhajmás,LHHK
Oroszló,LHHK
Palé,LHHK
Sásd,LHHK
Szágy,LHHK
Tarrós,LHHK
Tékes,LHHK
Tormás,LHHK
Varga,LHHK
Vásárosdombó,LHHK
Vázsnok,LHHK
Ártánd,LHHK
Bakonszeg,LHHK
Bedő,LHHK
Berekböszörmény,LHHK
Berettyóújfalu,LHHK
Biharkeresztes,LHHK
Bojt,LHHK
Csökmő,LHHK
Darvas,LHHK
Esztár,LHHK
Furta,LHHK
Gáborján,LHHK
Hencida,LHHK
Kismarja,LHHK
Komádi,LHHK
Körösszakál,LHHK
Körösszegapáti,LHHK
Magyarhomorog,LHHK
Mezőpeterd,LHHK
Mezősas,LHHK
Nagykereki,LHHK
Pocsaj,LHHK
Szentpéterszeg,LHHK
Tépe,LHHK
Told,LHHK
Újiráz,LHHK
Váncsod,LHHK
Vekerd,LHHK
Zsáka,LHHK
Bátorliget,LHHK
Encsencs,LHHK
Kisléta,LHHK
Máriapócs,LHHK
Nyírbátor,LHHK
Nyírbéltek,LHHK
Nyírbogát,LHHK
Nyírcsászári,LHHK
Nyírderzs,LHHK
Nyírgelse,LHHK
Nyírgyulaj,LHHK
Nyírlugos,LHHK
Nyírmihálydi,LHHK
Nyírpilis,LHHK
Nyírvasvári,LHHK
Ömböly,LHHK
Penészlek,LHHK
Piricse,LHHK
Pócspetri,LHHK
Terem,LHHK
Alsódobsza,LHHK
Bekecs,LHHK
Golop,LHHK
Legyesbénye,LHHK
Mád,LHHK
Megyaszó,LHHK
Mezőzombor,LHHK
Monok,LHHK
Prügy,LHHK
Rátka,LHHK
Sóstófalva,LHHK
Szerencs,LHHK
Taktaharkány,LHHK
Taktakenéz,LHHK
Taktaszada,LHHK
Tállya,LHHK
Tiszalúc,LHHK
Újcsanálos,LHHK
Bátonyterenye,LHHK
Dorogháza,LHHK
Kisbárkány,LHHK
Lucfalva,LHHK
Márkháza,LHHK
Mátramindszent,LHHK
Mátranovák,LHHK
Mátraterenye,LHHK
Mátraverebély,LHHK
Nagybárkány,LHHK
Nagykeresztúr,LHHK
Nemti,LHHK
Sámsonháza,LHHK
Szuha,LHHK
Aranyosapáti,LHHK
Barabás,LHHK
Beregdaróc,LHHK
Beregsurány,LHHK
Csaroda,LHHK
Gelénes,LHHK
Gemzse,LHHK
Gulács,LHHK
Gyüre,LHHK
Hetefejércse,LHHK
Ilk,LHHK
Jánd,LHHK
Kisvarsány,LHHK
Lónya,LHHK
Márokpapi,LHHK
Mátyus,LHHK
Nagyvarsány,LHHK
Olcsva,LHHK
Tákos,LHHK
Tarpa,LHHK
Tiszaadony,LHHK
Tiszakerecseny,LHHK
Tiszaszalka,LHHK
Tiszavid,LHHK
Tivadar,LHHK
Vámosatya,LHHK
Vásárosnamény,LHHK
Berzence,LHHK
Csurgó,LHHK
Csurgónagymarton,LHHK
Gyékényes,LHHK
Iharos,LHHK
Iharosberény,LHHK
Inke,LHHK
Őrtilos,LHHK
Pogányszentpéter,LHHK
Porrog,LHHK
Porrogszentkirály,LHHK
Porrogszentpál,LHHK
Somogybükkösd,LHHK
Somogycsicsó,LHHK
Somogyudvarhely,LHHK
Szenta,LHHK
Zákány,LHHK
Zákányfalu,LHHK
Almamellék,LHHK
Almáskeresztúr,LHHK
Bánfa,LHHK
Basal,LHHK
Bogykateperd,LHHK
Boldogasszonyfa,LHHK
Bürüs,LHHK
Csebény,LHHK
Csertő,LHHK
Dencsháza,LHHK
Endrőd,LHHK
Gyöngyösmellék,LHHK
Hobol,LHHK
Horváthertelend,LHHK
Ibafa,LHHK
Katádfa,LHHK
Kétújfalu,LHHK
Kisdobsza,LHHK
Kistamási,LHHK
Magyarlukafa,LHHK
Merenye,LHHK
Molvány,LHHK
Mozsgó,LHHK
Nagydobsza,LHHK
Nagypeterd,LHHK
Nagyváty,LHHK
Nemeske,LHHK
Nyugotszenterzsébet,LHHK
Patapoklosi,LHHK
Pettend,LHHK
Rózsafa,LHHK
Somogyapáti,LHHK
Somogyhárságy,LHHK
Somogyhatvan,LHHK
Somogyviszló,LHHK
Szentdénes,LHHK
Szentegát,LHHK
Szentlászló,LHHK
Szigetvár,LHHK
Szörény,LHHK
Szulimán,LHHK
Teklafalu,LHHK
Tótszentgyörgy,LHHK
Várad,LHHK
Vásárosbéc,LHHK
Zádor,LHHK
Bárdudvarnok,LHHK
Csököly,LHHK
Gige,LHHK
Hedrehely,LHHK
Hencse,LHHK
Jákó,LHHK
Kadarkút,LHHK
Kaposfő,LHHK
Kaposmérő,LHHK
Kaposújlak,LHHK
Kaposszerdahely,LHHK
Kisasszond,LHHK
Kiskorpád,LHHK
Kőkút,LHHK
Mike,LHHK
Nagybajom,LHHK
Pálmajor,LHHK
Patca,LHHK
Rinyakovácsi,LHHK
Szenna,LHHK
Szilvásszentmárton,LHHK
Visnye,LHHK
Zselickislak,LHHK
Apagy,LHHK
Baktalórántháza,LHHK
Berkesz,LHHK
Besenyőd,LHHK
Laskod,LHHK
Levelek,LHHK
Magy,LHHK
Nyíribrony,LHHK
Nyírjákó,LHHK
Nyírkarász,LHHK
Nyírkércs,LHHK
Nyírmada,LHHK
Nyírtass,LHHK
Nyírtét,LHHK
Ófehértó,LHHK
Petneháza,LHHK
Pusztadobos,LHHK
Ramocsaháza,LHHK
Rohod,LHHK
Fábiánháza,LHHK
Fülpösdaróc,LHHK
Géberjén,LHHK
Győrtelek,LHHK
Hodász,LHHK
Jármi,LHHK
Kántorjánosi,LHHK
Kocsord,LHHK
Mátészalka,LHHK
Mérk,LHHK
Nagydobos,LHHK
Nagyecsed,LHHK
Nyírcsaholy,LHHK
Nyírkáta,LHHK
Nyírmeggyes,LHHK
Nyírparasznya,LHHK
Ópályi,LHHK
Ököritófülpös,LHHK
Őr,LHHK
Papos,LHHK
Rápolt,LHHK
Szamoskér,LHHK
Szamosszeg,LHHK
Tiborszállás,LHHK
Vaja,LHHK
Vállaj,LHHK
Bodrogkeresztúr,LHHK
Bodrogkisfalud,LHHK
Csobaj,LHHK
Erdőbénye,LHHK
Szegi,LHHK
Szegilong,LHHK
Taktabáj,LHHK
Tarcal,LHHK
Tiszaladány,LHHK
Tiszatardos,LHHK
Tokaj,LHHK
Babócsa,LHHK
Barcs,LHHK
Bélavár,LHHK
Bolhó,LHHK
Csokonyavisonta,LHHK
Danány,LHHK
Drávagárdony,LHHK
Drávatamási,LHHK
Heresznye,LHHK
Homokszentgyörgy,LHHK
Istvándi,LHHK
Kálmáncsa,LHHK
Kastélyosdombó,LHHK
Komlósd,LHHK
Lad,LHHK
Lakócsa,LHHK
Patosfa,LHHK
Péterhida,LHHK
Potony,LHHK
Rinyaújlak,LHHK
Rinyaújnép,LHHK
Somogyaracs,LHHK
Szentborbás,LHHK
Szulok,LHHK
Tótújfalu,LHHK
Vízvár,LHHK
Bodrogolaszi,LHHK
Erdőhorváti,LHHK
Györgytarló,LHHK
Háromhuta,LHHK
Hercegkút,LHHK
Kenézlő,LHHK
Komlóska,LHHK
Makkoshotyka,LHHK
Olaszliszka,LHHK
Sárazsadány,LHHK
Sárospatak,LHHK
Tolcsva,LHHK
Vajdácska,LHHK
Vámosújfalu,LHHK
Viss,LHHK
Zalkod,LHHK
Belecska,LHHK
Diósberény,LHHK
Dúzs,LHHK
Értény,LHHK
Felsőnyék,LHHK
Fürged,LHHK
Gyönk,LHHK
Hőgyész,LHHK
Iregszemcse,LHHK
Kalaznó,LHHK
Keszőhidegkút,LHHK
Kisszékely,LHHK
Koppányszántó,LHHK
Magyarkeszi,LHHK
Miszla,LHHK
Mucsi,LHHK
Nagykónyi,LHHK
Nagyszékely,LHHK
Nagyszokoly,LHHK
Ozora,LHHK
Pári,LHHK
Pincehely,LHHK
Regöly,LHHK
Simontornya,LHHK
Szakadát,LHHK
Szakály,LHHK
Szárazd,LHHK
Tamási,LHHK
Tolnanémedi,LHHK
Udvari,LHHK
Újireg,LHHK
Varsád,LHHK
Abádszalók,LHHK
Kunhegyes,LHHK
Nagyiván,LHHK
Tiszabura,LHHK
Tiszaderzs,LHHK
Tiszafüred,LHHK
Tiszagyenda,LHHK
Tiszaigar,LHHK
Tiszaörs,LHHK
Tiszaroff,LHHK
Tiszaszentimre,LHHK
Tiszaszőlős,LHHK
Tomajmonostora,LHHK
Baks,LHHK
Balástya,LHHK
Csengele,LHHK
Kistelek,LHHK
Ópusztaszer,LHHK
Pusztaszer,LHHK
Buzsák,LHHK
Gyugy,LHHK
Hács,LHHK
Kisberény,LHHK
Lengyeltóti,LHHK
Öreglak,LHHK
Pamuk,LHHK
Somogyvámos,LHHK
Somogyvár,LHHK
Szőlősgyörök,LHHK
Báránd,LHH
Bihardancsháza,LHH
Biharnagybajom,LHH
Bihartorda,LHH
Földes,LHH
Kaba,LHH
Nádudvar,LHH
Nagyrábé,LHH
Püspökladány,LHH
Sáp,LHH
Sárrétudvari,LHH
Szerep,LHH
Tetétlen,LHH
Endrefalva,LHH
Hollókő,LHH
Ludányhalászi,LHH
Magyargéc,LHH
Nagylóc,LHH
Nógrádmegyer,LHH
Nógrádsipek,LHH
Nógrádszakál,LHH
Piliny,LHH
Rimóc,LHH
Szécsény,LHH
Szécsényfelfalu,LHH
Varsány,LHH
Bodony,LHH
Bükkszék,LHH
Bükkszenterzsébet,LHH
Erdőkövesd,LHH
Fedémes,LHH
Istenmezeje,LHH
Ivád,LHH
Kisfüzes,LHH
Mátraballa,LHH
Mátraderecske,LHH
Parád,LHH
Parádvasvár,LHH
Pétervására,LHH
Recsk,LHH
Sirok,LHH
Szajla,LHH
Szentdomonkos,LHH
Tarnalelesz,LHH
Terpes,LHH
Váraszó,LHH
Bárna,LHH
Cered,LHH
Egyházasgerge,LHH
Etes,LHH
Ipolytarnóc,LHH
Karancsalja,LHH
Karancsberény,LHH
Karancskeszi,LHH
Karancslapujtő,LHH
Karancsság,LHH
Kazár,LHH
Kishartyán,LHH
Litke,LHH
Mátraszele,LHH
Mihálygerge,LHH
Rákóczibánya,LHH
Ságújfalu,LHH
Salgótarján,LHH
Somoskőújfalu,LHH
Sóshartyán,LHH
Szalmatercs,LHH
Szilaspogony,LHH
Vizslás,LHH
Zabar,LHH
Balmazújváros,LHH
Egyek,LHH
Hortobágy,LHH
Tiszacsege,LHH
Bucsa,LHH
Dévaványa,LHH
Ecsegfalva,LHH
Füzesgyarmat,LHH
Kertészsziget,LHH
Körösladány,LHH
Körösújfalu,LHH
Szeghalom,LHH
Vésztő,LHH
Bocskaikert,LHH
Fülöp,LHH
Hajdúhadház,LHH
Hajdúsámson,LHH
Nyírábrány,LHH
Nyíracsád,LHH
Nyíradony,LHH
Nyírmártonfalva,LHH
Téglás,LHH
Újléta,LHH
Vámospércs,LHH
Ásotthalom,LHH
Bordány,LHH
Forráskút,LHH
Mórahalom,LHH
Öttömös,LHH
Pusztamérges,LHH
Ruzsa,LHH
Üllés,LHH
Zákányszék,LHH
Álmosd,LHH
Bagamér,LHH
Derecske,LHH
Hajdúbagos,LHH
Hosszúpályi,LHH
Kokad,LHH
Konyár,LHH
Létavértes,LHH
Monostorpályi,LHH
Sáránd,LHH
Rakamaz,LHH
Szabolcs,LHH
Szorgalmatos,LHH
Timár,LHH
Tiszadada,LHH
Tiszadob,LHH
Tiszaeszlár,LHH
Tiszalök,LHH
Tiszanagyfalu,LHH
Tiszavasvári,LHH
Cibakháza,LHH
Csépa,LHH
Cserkeszőlő,LHH
Kunszentmárton,LHH
Nagyrév,LHH
Öcsöd,LHH
Szelevény,LHH
Tiszaföldvár,LHH
Tiszainoka,LHH
Tiszakürt,LHH
Tiszasas,LHH
Balsa,LHH
Beszterec,LHH
Buj,LHH
Demecser,LHH
Gávavencsellő,LHH
Gégény,LHH
Ibrány,LHH
Kék,LHH
Kemecse,LHH
Nagyhalász,LHH
Nyírbogdány,LHH
Paszab,LHH
Székely,LHH
Tiszabercel,LHH
Tiszarád,LHH
Tiszatelek,LHH
Vasmegyer,LHH
Andocs,LHH
Bábonymegyer,LHH
Bedegkér,LHH
Bonnya,LHH
Fiad,LHH
Kánya,LHH
Kapoly,LHH
Kára,LHH
Karád,LHH
Kisbárapáti,LHH
Lulla,LHH
Miklósi,LHH
Nágocs,LHH
Sérsekszőlős,LHH
Somogyacsa,LHH
Somogydöröcske,LHH
Somogyegres,LHH
Somogymeggyes,LHH
Szorosad,LHH
Tab,LHH
Tengőd,LHH
Torvaj,LHH
Törökkoppány,LHH
Zala,LHH
Zics,LHH
Békés,LHH
Bélmegyer,LHH
Csárdaszállás,LHH
Doboz,LHH
Kamut,LHH
Köröstarcsa,LHH
Mezőberény,LHH
Murony,LHH
Tarhos,LHH
Bakháza,HH
Beleg,HH
Bolhás,HH
Görgeteg,HH
Háromfa,HH
Kaszó,HH
Kisbajom,HH
Kutas,HH
Lábod,HH
Nagyatád,HH
Nagykorpád,HH
Ötvöskónyi,HH
Rinyabesenyő,HH
Rinyaszentkirály,HH
Segesd,HH
Somogyszob,HH
Szabás,HH
Tarany,HH
Alap,HH
Alsószentiván,HH
Cece,HH
Hantos,HH
Igar,HH
Mezőszilas,HH
Nagylók,HH
Sárbogárd,HH
Sáregres,HH
Vajta,HH
Balaton,HH
Bátor,HH
Bekölce,HH
Bélapátfalva,HH
Bükkszentmárton,HH
Egerbocs,HH
Egercsehi,HH
Hevesaranyos,HH
Mikófalva,HH
Mónosbél,HH
Nagyvisnyó,HH
Szilvásvárad,HH
Szúcs,HH
Ambrózfalva,HH
Apátfalva,HH
Csanádalberti,HH
Csanádpalota,HH
Ferencszállás,HH
Földeák,HH
Királyhegyes,HH
Kiszombor,HH
Klárafalva,HH
Kövegy,HH
Magyarcsanád,HH
Makó,HH
Maroslele,HH
Nagyér,HH
Nagylak,HH
Óföldeák,HH
Pitvaros,HH
Benk,HH
Eperjeske,HH
Győröcske,HH
Komoró,HH
Mándok,HH
Tiszabezdéd,HH
Tiszamogyorós,HH
Tiszaszentmárton,HH
Tuzsér,HH
Záhony,HH
Zsurk,HH
Bicsérd,HH
Boda,HH
Bükkösd,HH
Cserdi,HH
Csonkamindszent,HH
Dinnyeberki,HH
Gerde,HH
Gyöngyfa,HH
Helesfa,HH
Hetvehely,HH
Kacsóta,HH
Királyegyháza,HH
Okorvölgy,HH
Pécsbagota,HH
Sumony,HH
Szabadszentkirály,HH
Szentkatalin,HH
Szentlőrinc,HH
Velény,HH
Zók,HH
Kétpó,HH
Mesterszállás,HH
Mezőkék,HH
Mezőtúr,HH
Túrkeve,HH
Berekfürdő,HH
Karcag,HH
Kenderes,HH
Kisújszállás,HH
Kunmadaras,HH
Apostag,HH
Dunaegyháza,HH
Dunavecse,HH
Kunadacs,HH
Kunpeszér,HH
Kunszentmiklós,HH
Szabadszállás,HH
Szalkszentmárton,HH
Tass,HH
Újsolt,HH
Alsószentmárton,HH
Babarcszőlős,HH
Beremend,HH
Bisse,HH
Cún,HH
Csarnóta,HH
Diósviszló,HH
Drávacsehi,HH
Drávacsepely,HH
Drávapalkonya,HH
Drávapiski,HH
Drávaszabolcs,HH
Drávaszerdahely,HH
Egyházasharaszti,HH
Gardisa,HH
Garé,HH
Harkány,HH
Illocska,HH
Ipacsfa,HH
Ivánbattyán,HH
Kásád,HH
Kémes,HH
Kisdér,HH
Kisharsány,HH
Kisjakabfalva,HH
Kiskassa,HH
Kislippó,HH
Kistapolca,HH
Kistótfalu,HH
Kovácshida,HH
Lapáncsa,HH
Magyarbóly,HH
Márfa,HH
Márok,HH
Matty,HH
Nagyharsány,HH
Nagytótfalu,HH
Old,HH
Palkonya,HH
Pécsdevecser,HH
Peterd ,HH
Rádfalva,HH
Siklós,HH
Siklósbodony,HH
Siklósnagyfalu,HH
Szaporca,HH
Szava,HH
Tésenyfa,HH
Túrony,HH
Újpetre,HH
Villány,HH
Villánykövesd,HH
Vokány,HH
Aldebrő,HH
Besenyőtelek,HH
Dormánd,HH
Egerfarmos,HH
Feldebrő,HH
Füzesabony,HH
Kál,HH
Kápolna,HH
Kompolt,HH
Mezőszemere,HH
Mezőtárkány,HH
Nagyút,HH
Poroszló,HH
Sarud,HH
Szihalom,HH
Tófalu,HH
Újlőrincfalva,HH
Alsóújlak,HH
Andrásfa,HH
Bélbaltavár,HH
Csehi,HH
Csehimindszent,HH
Csipkerek,HH
Egervölgy,HH
Gersekarát,HH
Győrvár,HH
Hegyhátszentpéter,HH
Kám,HH
Mikosszéplak,HH
Nagytilaj,HH
Olaszfa,HH
Oszkó,HH
Pácsony,HH
Petőmihályfa,HH
Püspökmolnári,HH
Rábahídvég,HH
Sárfimizdó,HH
Szemenye,HH
Telekes,HH
Vasvár,HH
Csanytelek,HH
Csongrád,HH
Felgyő,HH
Tömörkény,HH
Bánokszentgyörgy,HH
Bázakerettye,HH
Becsehely,HH
Borsfa,HH
Bucsuta,HH
Csörnyeföld,HH
Kerkaszentkirály,HH
Kiscsehi,HH
Kistolmács,HH
Lasztonya,HH
Letenye,HH
Lispeszentadorján,HH
Maróc,HH
Molnári,HH
Murarátka,HH
Muraszemenye,HH
Oltárc,HH
Petrivente,HH
Pusztamagyaród,HH
Semjénháza,HH
Szentliszló,HH
Szentmargitfava,HH
Tótszentmárton,HH
Tótszerdahely,HH
Valkonya,HH
Várfölde,HH
Zajk,HH
Csólyospálos,HH
Jászszentlászló,HH
Kiskunmajsa,HH
Kömpöc,HH
Móricgát,HH
Szank,HH
Balkány,HH
Biri,HH
Bököny,HH
Érpatak,HH
Geszteréd,HH
Kállósemjén,HH
Nagykálló,HH
Szakoly,HH
Újfehértó,HH
Folyás,HH
Görbeháza,HH
Polgár,HH
Tiszagyulaháza,HH
Újszentmargita,HH
Újtikos,HH
Alsószuha,HH
Alsótelekes,HH
Bánhorváti,HH
Berente,HH
Dédestapolcsány,HH
Dövény,HH
Felsőkelecsény,HH
Felsőnyárád,HH
Felsőtelekes,HH
Imola,HH
Izsófalva,HH
Jákfalva,HH
Kánó,HH
Kazincbarcika,HH
Kurityán,HH
Mályinka,HH
Múcsony,HH
Nagybarca,HH
Ormosbánya,HH
Ragály,HH
Rudabánya,HH
Rudolftelep,HH
Sajógalgóc,HH
Sajóivánka,HH
Sajókaza,HH
Szuhafő,HH
Szuhakálló,HH
Tardona,HH
Trizs ,HH
Vadna,HH
Zádorfalva,HH
Zubogy,HH
Alsórajk,HH
Bezeréd,HH
Búcsúszentlászló,HH
Dióskál,HH
Egeraracsa,HH
Felsőrajk,HH
Misefa,HH
Nagykapornak,HH
Nemesrádó,HH
Nemessándorháza,HH
Nemesszentandrás,HH
Orbányosfa,HH
Pacsa,HH
Padár,HH
Pölöske,HH
Pötréte,HH
Szentpéterúr,HH
Zalaigrice,HH
Zalaszentmárton,HH
Zalaszentmihály,HH
Dég,HH
Enying,HH
Kisláng,HH
Lajoskomárom,HH
Lepsény,HH
Mátyásdomb,HH
Mezőkomárom,HH
Mezőszentgyörgy,HH
Szabadhídvég,HH
Alsóregmec,HH
Bózsva,HH
Felsőregmec,HH
Filkeháza,HH
Füzér,HH
Füzérkajata,HH
Füzérkomlós,HH
Füzérradvány,HH
Hollóháza,HH
Kishuta,HH
Kovácsvágás,HH
Mikóháza,HH
Nagyhuta,HH
Nyíri,HH
Pálháza,HH
Pusztafalu,HH
Sátoraljaújhely,HH
Vágáshuta,HH
Vilyvitány,HH
Bajánsenye,HH
Falsómarác,HH
Felsőjánosfa,HH
Hegyhátszentjakab,HH
Hegyhátszentmárton,HH
