Telepules,Jogallas,Megye,Kisterseg,Lako_nepesseg,roma_onkormanyzat
Szijártóháza,község,Zala,Lenti,22,
Szikszó,város,Borsod-Abaúj-Zemplén,Szikszói,"5,307",1
Szil,község,Győr-Moson-Sopron,Csornai,"1,322",1
Szilágy,község,Baranya,Pécsi,246,1
Szilaspogony,község,Nógrád,Salgótarjáni,295,1
Szilsárkány,község,Győr-Moson-Sopron,Csornai,652,
Szilvágy,község,Zala,Lenti,187,
Szilvás,község,Baranya,Pécsi,147,
Szilvásvárad,község,Heves,Bélapátfalvai,"1,623",
Szilvásszentmárton,község,Somogy,Kaposvári,210,
Szin,község,Borsod-Abaúj-Zemplén,Edelényi,817,1
Szinpetri,község,Borsod-Abaúj-Zemplén,Edelényi,229,
Szirák,község,Nógrád,Pásztói,"1,189",1
Szirmabesenyő,nagyközség,Borsod-Abaúj-Zemplén,Miskolci,"4,111",1
Szob,város,Pest,Szobi,"2,660",
Szokolya,község,Pest,Szobi,"1,815",
Szólád,község,Somogy,Siófoki,480,
Szolnok,"megyeszékhely, megyei jogú város",Jász-Nagykun-Szolnok,Szolnoki,"72,333",1
Szombathely,"megyeszékhely, megyei jogú város",Vas,Szombathelyi,"77,973",1
Szomód,község,Komárom-Esztergom,Tatai,"1,986",
Szomolya,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,"1,603",
Szomor,község,Komárom-Esztergom,Tatabányai,"1,037",
Szorgalmatos,község,Szabolcs-Szatmár-Bereg,Tiszavasvári,"1,084",
Szorosad,község,Somogy,Tabi,95,
Szőc,község,Veszprém,Ajkai,436,
Szőce,község,Vas,Körmendi,294,
Sződ,község,Pest,Váci,"3,567",
Sződliget,nagyközség,Pest,Váci,"4,482",
Szögliget,község,Borsod-Abaúj-Zemplén,Edelényi,571,
Szőke,község,Baranya,Pécsi,128,
Szőkéd,község,Baranya,Pécsi,323,1
Szőkedencs,község,Somogy,Marcali,245,
Szőlősardó,község,Borsod-Abaúj-Zemplén,Edelényi,108,
Szőlősgyörök,község,Somogy,Fonyódi,"1,228",
Szörény,község,Baranya,Szigetvári,72,
Szúcs,község,Heves,Egri,413,1
Szuha,község,Nógrád,Bátonyterenyei,532,
Szuhafő,község,Borsod-Abaúj-Zemplén,Putnoki,142,
Szuhakálló,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,897,1
Szuhogy,község,Borsod-Abaúj-Zemplén,Edelényi,"1,122",1
Szulimán,község,Baranya,Szigetvári,224,
Szulok,község,Somogy,Barcsi,678,
Szurdokpüspöki,község,Nógrád,Pásztói,"1,865",
Szűcsi,község,Heves,Gyöngyösi,"1,545",
Szügy,község,Nógrád,Balassagyarmati,"1,360",1
Szűr,község,Baranya,Mohácsi,248,
Tab,város,Somogy,Tabi,"4,301",
Tabajd,község,Fejér,Bicskei,940,
Tabdi,község,Bács-Kiskun,Kiskőrösi,"1,042",
Táborfalva,nagyközség,Pest,Dabasi,"3,244",
Tác,község,Fejér,Székesfehérvári,"1,688",
Tagyon,község,Veszprém,Balatonfüredi,88,
Tahitótfalu,község,Pest,Szentendrei,"5,585",
Takácsi,község,Veszprém,Pápai,844,
Tákos,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,354,
Taksony,nagyközség,Pest,Szigetszentmiklósi,"6,137",1
Taktabáj,község,Borsod-Abaúj-Zemplén,Tokaji,632,
Taktaharkány,nagyközség,Borsod-Abaúj-Zemplén,Szerencsi,"3,587",1
Taktakenéz,község,Borsod-Abaúj-Zemplén,Szerencsi,"1,279",1
Taktaszada,község,Borsod-Abaúj-Zemplén,Szerencsi,"1,909",1
Taliándörögd,község,Veszprém,Tapolcai,740,
Tállya,község,Borsod-Abaúj-Zemplén,Szerencsi,"1,864",1
Tamási,város,Tolna,Tamási,"8,068",1
Tanakajd,község,Vas,Szombathelyi,719,
Táp,község,Győr-Moson-Sopron,Pannonhalmi,721,
Tápióbicske,község,Pest,Nagykátai,"3,360",1
Tápiógyörgye,község,Pest,Nagykátai,"3,348",1
Tápióság,község,Pest,Nagykátai,"2,566",1
Tápiószecső,nagyközség,Pest,Nagykátai,"6,039",1
Tápiószele,város,Pest,Nagykátai,"5,869",1
Tápiószentmárton,nagyközség,Pest,Nagykátai,"5,144",1
Tápiószőlős,község,Pest,Ceglédi,"2,809",1
Táplánszentkereszt,község,Vas,Szombathelyi,"2,542",
Tapolca,város,Veszprém,Tapolcai,"15,459",
Tapsony,község,Somogy,Marcali,723,1
Tápszentmiklós,község,Győr-Moson-Sopron,Pannonhalmi,962,
Tar,község,Nógrád,Pásztói,"1,833",1
Tarany,község,Somogy,Nagyatádi,"1,165",1
Tarcal,község,Borsod-Abaúj-Zemplén,Tokaji,"2,794",
Tard,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,"1,174",
Tardona,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,"1,013",
Tardos,község,Komárom-Esztergom,Tatai,"1,627",
Tarhos,község,Békés,Békési,773,
Tarján,község,Komárom-Esztergom,Tatabányai,"2,624",
Tarjánpuszta,község,Győr-Moson-Sopron,Pannonhalmi,401,
Tárkány,község,Komárom-Esztergom,Kisbéri,"1,408",1
Tarnabod,község,Heves,Hevesi,661,1
Tarnalelesz,község,Heves,Pétervásárai,"1,751",1
Tarnaméra,község,Heves,Hevesi,"1,650",
Tarnaörs,község,Heves,Hevesi,"1,811",1
Tarnaszentmária,község,Heves,Egri,227,
Tarnaszentmiklós,község,Heves,Hevesi,860,
Tarnazsadány,község,Heves,Hevesi,"1,195",1
Tárnok,nagyközség,Pest,Érdi,"9,259",
Tárnokréti,község,Győr-Moson-Sopron,Csornai,172,
Tarpa,nagyközség,Szabolcs-Szatmár-Bereg,Vásárosnaményi,"2,456",
Tarrós,község,Baranya,Hegyháti,124,
Táska,község,Somogy,Marcali,394,1
Tass,község,Bács-Kiskun,Kunszentmiklósi,"2,737",
Taszár,község,Somogy,Kaposvári,"1,923",
Tát,város,Komárom-Esztergom,Esztergomi,"5,241",
Tata,város,Komárom-Esztergom,Tatai,"23,445",1
Tatabánya,"megyeszékhely, megyei jogú város",Komárom-Esztergom,Tatabányai,"66,362",1
Tataháza,község,Bács-Kiskun,Bácsalmási,"1,196",
Tatárszentgyörgy,község,Pest,Dabasi,"1,815",1
Tázlár,község,Bács-Kiskun,Kiskőrösi,"1,803",
Téglás,város,Hajdú-Bihar,Hajdúhadházi,"6,321",
Tekenye,község,Zala,Zalaszentgróti,400,
Tékes,község,Baranya,Hegyháti,234,1
Teklafalu,község,Baranya,Szigetvári,273,1
Telekes,község,Vas,Vasvári,511,
Telekgerendás,község,Békés,Békéscsabai,"1,386",
Teleki,község,Somogy,Siófoki,203,1
Telki,község,Pest,Budakeszi,"3,903",
Telkibánya,község,Borsod-Abaúj-Zemplén,Gönci,542,
Tengelic,község,Tolna,Paksi,"2,192",1
Tengeri,község,Baranya,Sellyei,54,
Tengőd,község,Somogy,Tabi,417,
Tenk,község,Heves,Hevesi,"1,203",
Tényő,község,Győr-Moson-Sopron,Győri,"1,589",
Tépe,község,Hajdú-Bihar,Derecskei,"1,099",
Terem,község,Szabolcs-Szatmár-Bereg,Nyírbátori,671,
Terény,község,Nógrád,Balassagyarmati,374,
Tereske,község,Nógrád,Rétsági,678,1
Teresztenye,község,Borsod-Abaúj-Zemplén,Edelényi,36,
Terpes,község,Heves,Pétervásárai,216,1
Tés,község,Veszprém,Várpalotai,767,
Tésa,község,Pest,Szobi,83,
Tésenfa,község,Baranya,Siklósi,178,
Téseny,község,Baranya,Sellyei,308,1
Teskánd,község,Zala,Zalaegerszegi,"1,093",
Tét,város,Győr-Moson-Sopron,Téti,"4,062",1
Tetétlen,község,Hajdú-Bihar,Püspökladányi,"1,400",1
Tevel,község,Tolna,Bonyhádi,"1,349",1
Tibolddaróc,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,"1,357",
Tiborszállás,község,Szabolcs-Szatmár-Bereg,Mátészalkai,"1,015",
Tihany,község,Veszprém,Balatonfüredi,"1,383",
Tikos,község,Somogy,Marcali,115,1
Tilaj,község,Zala,Zalaegerszegi,180,
Timár,község,Szabolcs-Szatmár-Bereg,Nyíregyházi,"1,290",1
Tinnye,község,Pest,Pilisvörösvári,"1,676",
Tiszaadony,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,660,1
Tiszaalpár,nagyközség,Bács-Kiskun,Tiszakécskei,"4,920",1
Tiszabábolna,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,336,
Tiszabecs,nagyközség,Szabolcs-Szatmár-Bereg,Fehérgyarmati,"1,412",1
Tiszabercel,község,Szabolcs-Szatmár-Bereg,Ibrányi,"1,809",1
Tiszabezdéd,község,Szabolcs-Szatmár-Bereg,Záhonyi,"1,891",1
Tiszabő,község,Jász-Nagykun-Szolnok,Kunhegyesi,"2,100",1
Tiszabura,község,Jász-Nagykun-Szolnok,Kunhegyesi,"2,970",1
Tiszacsécse,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,246,
Tiszacsege,város,Hajdú-Bihar,Balmazújvárosi,"4,684",1
Tiszacsermely,község,Borsod-Abaúj-Zemplén,Cigándi,545,
Tiszadada,község,Szabolcs-Szatmár-Bereg,Tiszavasvári,"2,218",1
Tiszaderzs,község,Jász-Nagykun-Szolnok,Tiszafüredi,"1,041",1
Tiszadob,nagyközség,Szabolcs-Szatmár-Bereg,Tiszavasvári,"2,836",1
Tiszadorogma,község,Borsod-Abaúj-Zemplén,Mezőcsáti,341,
Tiszaeszlár,község,Szabolcs-Szatmár-Bereg,Tiszavasvári,"2,544",
Tiszaföldvár,város,Jász-Nagykun-Szolnok,Kunszentmártoni,"10,741",1
