Telepules,Jogallas,Megye,Kisterseg,Lako_nepesseg,roma_onkormanyzat
Aba,város,Fejér,Székesfehérvári,"4,424",
Abádszalók,város,Jász-Nagykun-Szolnok,Kunhegyesi,"4,160",1
Abaliget,község,Baranya,Pécsi,649,1
Abasár,község,Heves,Gyöngyösi,"2,493",
Abaújalpár,község,Borsod-Abaúj-Zemplén,Gönci,59,
Abaújkér,község,Borsod-Abaúj-Zemplén,Gönci,609,1
Abaújlak,község,Borsod-Abaúj-Zemplén,Szikszói,70,
Abaújszántó,város,Borsod-Abaúj-Zemplén,Gönci,"3,021",1
Abaújszolnok,község,Borsod-Abaúj-Zemplén,Szikszói,169,1
Abaújvár,község,Borsod-Abaúj-Zemplén,Gönci,256,
Abda,község,Győr-Moson-Sopron,Győri,"3,138",
Abod,község,Borsod-Abaúj-Zemplén,Edelényi,213,1
Abony,város,Pest,Ceglédi,"14,508",1
Ábrahámhegy,község,Veszprém,Tapolcai,423,
Ács,város,Komárom-Esztergom,Komáromi,"6,793",1
Acsa,község,Pest,Váci,"1,381",1
Acsád,község,Vas,Szombathelyi,677,
Acsalag,község,Győr-Moson-Sopron,Csornai,485,
Ácsteszér,község,Komárom-Esztergom,Kisbéri,691,
Adács,község,Heves,Gyöngyösi,"2,602",1
Ádánd,község,Somogy,Siófoki,"2,112",1
Adásztevel,község,Veszprém,Pápai,763,
Adony,város,Fejér,Dunaújvárosi,"3,686",
Adorjánháza,község,Veszprém,Devecseri,354,
Adorjás,község,Baranya,Sellyei,190,1
Ág,község,Baranya,Hegyháti,192,1
Ágasegyháza,község,Bács-Kiskun,Kecskeméti,"1,880",
Ágfalva,község,Győr-Moson-Sopron,Soproni,"2,225",
Aggtelek,község,Borsod-Abaúj-Zemplén,Putnoki,555,
Agyagosszergény,község,Győr-Moson-Sopron,Kapuvári,937,
Ajak,város,Szabolcs-Szatmár-Bereg,Kisvárdai,"3,709",1
Ajka,város,Veszprém,Ajkai,"28,284",1
Aka,község,Komárom-Esztergom,Kisbéri,248,
Akasztó,község,Bács-Kiskun,Kiskőrösi,"3,348",
Alacska,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,772,
Alap,község,Fejér,Sárbogárdi,"1,885",
Alattyán,község,Jász-Nagykun-Szolnok,Jászapáti,"1,950",1
Albertirsa,város,Pest,Ceglédi,"12,188",1
Alcsútdoboz,község,Fejér,Bicskei,"1,449",
Aldebrő,község,Heves,Füzesabonyi,714,
Algyő,nagyközség,Csongrád,Szegedi,"5,108",
Alibánfa,község,Zala,Zalaegerszegi,403,
Almamellék,község,Baranya,Szigetvári,369,
Almásfüzitő,község,Komárom-Esztergom,Komáromi,"2,090",
Almásháza,község,Zala,Zalaegerszegi,76,
Almáskamarás,község,Békés,Mezőkovácsházai,852,
Almáskeresztúr,község,Baranya,Szigetvári,81,
Álmosd,község,Hajdú-Bihar,Nyíradonyi,"1,624",1
Alsóberecki,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,698,
Alsóbogát,község,Somogy,Kaposvári,238,
Alsódobsza,község,Borsod-Abaúj-Zemplén,Szerencsi,280,
Alsógagy,község,Borsod-Abaúj-Zemplén,Encsi,80,
Alsómocsolád,község,Baranya,Hegyháti,284,
Alsónána,község,Tolna,Szekszárdi,697,
Alsónémedi,nagyközség,Pest,Gyáli,"5,264",
Alsónemesapáti,község,Zala,Zalaegerszegi,660,
Alsónyék,község,Tolna,Szekszárdi,751,
Alsóörs,község,Veszprém,Balatonfüredi,"1,653",
Alsópáhok,község,Zala,Keszthelyi,"1,329",
Alsópetény,község,Nógrád,Rétsági,567,
Alsórajk,község,Zala,Nagykanizsai,330,
Alsóregmec,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,166,
Alsószenterzsébet,község,Zala,Lenti,48,
Alsószentiván,község,Fejér,Sárbogárdi,624,
Alsószentmárton,község,Baranya,Siklósi,"1,272",1
Alsószölnök,község,Vas,Szentgotthárdi,359,
Alsószuha,község,Borsod-Abaúj-Zemplén,Putnoki,410,1
Alsótelekes,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,136,
Alsótold,község,Nógrád,Pásztói,230,
Alsóújlak,község,Vas,Vasvári,593,
Alsóvadász,község,Borsod-Abaúj-Zemplén,Szikszói,"1,511",1
Alsózsolca,város,Borsod-Abaúj-Zemplén,Miskolci,"5,606",1
Ambrózfalva,község,Csongrád,Makói,498,
Anarcs,község,Szabolcs-Szatmár-Bereg,Kisvárdai,"1,992",
Andocs,község,Somogy,Tabi,"1,076",
Andornaktálya,község,Heves,Egri,"2,615",
Andrásfa,község,Vas,Vasvári,243,
Annavölgy,község,Komárom-Esztergom,Esztergomi,935,
Apácatorna,község,Veszprém,Devecseri,163,
Apagy,község,Szabolcs-Szatmár-Bereg,Nyíregyházi,"2,320",
Apaj,község,Pest,Ráckevei,"1,199",
Aparhant,község,Tolna,Bonyhádi,985,
Apátfalva,község,Csongrád,Makói,"2,900",1
Apátistvánfalva,község,Vas,Szentgotthárdi,386,
Apátvarasd,község,Baranya,Pécsváradi,124,
Apc,község,Heves,Hatvani,"2,447",1
Áporka,község,Pest,Ráckevei,"1,102",
Apostag,község,Bács-Kiskun,Kunszentmiklósi,"2,025",
Aranyosapáti,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,"2,054",1
Aranyosgadány,község,Baranya,Pécsi,372,1
Arka,község,Borsod-Abaúj-Zemplén,Gönci,52,
Arló,nagyközség,Borsod-Abaúj-Zemplén,Ózdi,"3,736",1
Arnót,község,Borsod-Abaúj-Zemplén,Miskolci,"2,387",
Ároktő,község,Borsod-Abaúj-Zemplén,Mezőcsáti,"1,106",
Árpádhalom,község,Csongrád,Szentesi,514,
Árpás,község,Győr-Moson-Sopron,Téti,255,
Ártánd,község,Hajdú-Bihar,Berettyóújfalui,529,
Ásotthalom,nagyközség,Csongrád,Mórahalmi,"3,895",
Ásványráró,község,Győr-Moson-Sopron,Mosonmagyaróvári,"1,937",
Aszaló,község,Borsod-Abaúj-Zemplén,Szikszói,"1,835",1
Ászár,község,Komárom-Esztergom,Kisbéri,"1,692",
Aszód,város,Pest,Aszódi,"6,160",
Aszófő,község,Veszprém,Balatonfüredi,395,
Áta,község,Baranya,Pécsi,156,
Átány,község,Heves,Hevesi,"1,485",
Atkár,község,Heves,Gyöngyösi,"1,716",
Attala,község,Tolna,Dombóvári,817,
Babarc,község,Baranya,Bólyi,715,
Babarcszőlős,község,Baranya,Siklósi,108,1
Babócsa,község,Somogy,Barcsi,"1,510",1
Bábolna,város,Komárom-Esztergom,Komáromi,"3,840",
Bábonymegyer,község,Somogy,Tabi,793,
Babosdöbréte,község,Zala,Zalaegerszegi,463,
Babót,község,Győr-Moson-Sopron,Kapuvári,"1,120",
Bácsalmás,város,Bács-Kiskun,Bácsalmási,"6,496",1
Bácsbokod,nagyközség,Bács-Kiskun,Bácsalmási,"2,499",
Bácsborsód,község,Bács-Kiskun,Bácsalmási,"1,115",
Bácsszentgyörgy,község,Bács-Kiskun,Bajai,150,
Bácsszőlős,község,Bács-Kiskun,Bácsalmási,355,
Badacsonytomaj,város,Veszprém,Tapolcai,"2,077",
Badacsonytördemic,község,Veszprém,Tapolcai,888,
Bag,nagyközség,Pest,Aszódi,"3,596",1
Bagamér,nagyközség,Hajdú-Bihar,Nyíradonyi,"2,526",1
Baglad,község,Zala,Lenti,34,
Bagod,község,Zala,Zalaegerszegi,"1,240",
Bágyogszovát,község,Győr-Moson-Sopron,Csornai,"1,284",
Baj,község,Komárom-Esztergom,Tatai,"2,854",
Baja,város,Bács-Kiskun,Bajai,"35,411",1
Bajánsenye,község,Vas,Körmendi,482,
Bajna,község,Komárom-Esztergom,Esztergomi,"1,899",
Bajót,község,Komárom-Esztergom,Esztergomi,"1,596",1
Bak,község,Zala,Zalaegerszegi,"1,584",
Bakháza,község,Somogy,Nagyatádi,179,
Bakóca,község,Baranya,Hegyháti,268,1
Bakonszeg,község,Hajdú-Bihar,Berettyóújfalui,"1,190",
Bakonya,község,Baranya,Pécsi,322,1
Bakonybánk,község,Komárom-Esztergom,Kisbéri,434,
Bakonybél,község,Veszprém,Zirci,"1,219",
Bakonycsernye,község,Fejér,Móri,"2,952",
Bakonygyirót,község,Győr-Moson-Sopron,Pannonhalmi,133,
Bakonyjákó,község,Veszprém,Pápai,650,
Bakonykoppány,község,Veszprém,Pápai,195,
Bakonykúti,község,Fejér,Székesfehérvári,139,
Bakonynána,község,Veszprém,Zirci,"1,034",
Bakonyoszlop,község,Veszprém,Zirci,418,
Bakonypéterd,község,Győr-Moson-Sopron,Pannonhalmi,271,
Bakonypölöske,község,Veszprém,Pápai,378,
Bakonyság,község,Veszprém,Pápai,49,
Bakonysárkány,község,Komárom-Esztergom,Kisbéri,967,
Bakonyszentiván,község,Veszprém,Pápai,221,
Bakonyszentkirály,község,Veszprém,Zirci,824,
Bakonyszentlászló,község,Győr-Moson-Sopron,Pannonhalmi,"1,758",1
Bakonyszombathely,község,Komárom-Esztergom,Kisbéri,"1,425",
Bakonyszücs,község,Veszprém,Pápai,299,
Bakonytamási,község,Veszprém,Pápai,601,1
Baks,község,Csongrád,Kisteleki,"1,956",1
Baksa,község,Baranya,Sellyei,754,1
Baktakék,község,Borsod-Abaúj-Zemplén,Encsi,731,1
Baktalórántháza,város,Szabolcs-Szatmár-Bereg,Baktalórántházai,"3,954",1
Baktüttös,község,Zala,Zalaegerszegi,333,
Balajt,község,Borsod-Abaúj-Zemplén,Edelényi,489,
Balassagyarmat,város,Nógrád,Balassagyarmati,"15,280",1
Balástya,község,Csongrád,Kisteleki,"3,445",
Balaton,község,Heves,Bélapátfalvai,"1,033",
Balatonakali,község,Veszprém,Balatonfüredi,624,
Balatonakarattya,község,Veszprém,Balatonalmádi,831,
Balatonalmádi,város,Veszprém,Balatonalmádi,"8,564",
Balatonberény,község,Somogy,Marcali,"1,087",
Balatonboglár,város,Somogy,Fonyódi,"5,673",
Balatoncsicsó,község,Veszprém,Balatonfüredi,223,
Balatonederics,község,Veszprém,Tapolcai,994,
Balatonendréd,község,Somogy,Siófoki,"1,297",
Balatonfenyves,község,Somogy,Fonyódi,"1,803",
Balatonfőkajár,község,Veszprém,Balatonalmádi,"1,291",
Balatonföldvár,város,Somogy,Siófoki,"2,150",
Balatonfüred,város,Veszprém,Balatonfüredi,"13,082",
Balatonfűzfő,város,Veszprém,Balatonalmádi,"4,084",
Balatongyörök,község,Zala,Keszthelyi,"1,020",
Balatonhenye,község,Veszprém,Tapolcai,130,
Balatonkenese,város,Veszprém,Balatonalmádi,"2,554",
Balatonkeresztúr,község,Somogy,Marcali,"1,471",
Balatonlelle,város,Somogy,Fonyódi,"5,235",
Balatonmagyaród,község,Zala,Nagykanizsai,407,
Balatonmáriafürdő,község,Somogy,Marcali,694,
Balatonőszöd,község,Somogy,Siófoki,479,
Balatonrendes,község,Veszprém,Tapolcai,124,
Balatonszabadi,község,Somogy,Siófoki,"2,951",
Balatonszárszó,nagyközség,Somogy,Siófoki,"1,961",
Balatonszemes,község,Somogy,Siófoki,"1,743",
Balatonszentgyörgy,község,Somogy,Marcali,"1,556",
Balatonszepezd,község,Veszprém,Balatonfüredi,377,
Balatonszőlős,község,Veszprém,Balatonfüredi,634,
Balatonudvari,község,Veszprém,Balatonfüredi,301,
Balatonújlak,község,Somogy,Marcali,458,
Balatonvilágos,község,Somogy,Siófoki,"1,158",
Balinka,község,Fejér,Móri,902,
Balkány,város,Szabolcs-Szatmár-Bereg,Nagykállói,"6,413",1
Ballószög,község,Bács-Kiskun,Kecskeméti,"3,504",
Balmazújváros,város,Hajdú-Bihar,Balmazújvárosi,"17,421",1
Balogunyom,község,Vas,Szombathelyi,"1,120",
Balotaszállás,község,Bács-Kiskun,Kiskunhalasi,"1,492",1
Balsa,község,Szabolcs-Szatmár-Bereg,Ibrányi,842,1
Bálványos,község,Somogy,Siófoki,539,
Bana,község,Komárom-Esztergom,Komáromi,"1,633",1
Bánd,község,Veszprém,Veszprémi,660,
Bánfa,község,Baranya,Szigetvári,161,
Bánhorváti,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,"1,364",
Bánk,község,Nógrád,Rétsági,652,
Bánokszentgyörgy,község,Zala,Letenyei,618,1
Bánréve,község,Borsod-Abaúj-Zemplén,Putnoki,"1,310",1
Bár,község,Baranya,Mohácsi,530,
Barabás,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,"1,039",
Baracs,község,Fejér,Dunaújvárosi,"3,383",
Baracska,község,Fejér,Martonvásári,"2,679",
Báránd,község,Hajdú-Bihar,Püspökladányi,"2,549",1
Baranyahídvég,község,Baranya,Sellyei,176,1
Baranyajenő,község,Baranya,Hegyháti,417,1
Baranyaszentgyörgy,község,Baranya,Hegyháti,149,
Barbacs,község,Győr-Moson-Sopron,Csornai,752,
Barcs,város,Somogy,Barcsi,"10,698",1
Bárdudvarnok,község,Somogy,Kaposvári,"1,110",1
Barlahida,község,Zala,Lenti,108,
Bárna,község,Nógrád,Salgótarjáni,"1,032",1
Barnag,község,Veszprém,Veszprémi,124,
Bársonyos,község,Komárom-Esztergom,Kisbéri,752,
Basal,község,Baranya,Szigetvári,152,
Baskó,község,Borsod-Abaúj-Zemplén,Gönci,170,
Báta,község,Tolna,Szekszárdi,"1,650",1
Bátaapáti,község,Tolna,Bonyhádi,420,
Bátaszék,város,Tolna,Szekszárdi,"6,118",1
Baté,község,Somogy,Kaposvári,802,1
Bátmonostor,község,Bács-Kiskun,Bajai,"1,502",1
Bátonyterenye,város,Nógrád,Bátonyterenyei,"12,221",1
Bátor,község,Heves,Egri,346,
Bátorliget,község,Szabolcs-Szatmár-Bereg,Nyírbátori,719,
Battonya,város,Békés,Mezőkovácsházai,"5,835",
Bátya,község,Bács-Kiskun,Kalocsai,"1,997",1
Batyk,község,Zala,Zalaszentgróti,370,
Bázakerettye,község,Zala,Letenyei,786,
Bazsi,község,Veszprém,Sümegi,389,
Béb,község,Veszprém,Pápai,250,
Becsehely,község,Zala,Letenyei,"2,025",1
Becske,község,Nógrád,Balassagyarmati,535,1
Becskeháza,község,Borsod-Abaúj-Zemplén,Edelényi,27,
Becsvölgye,község,Zala,Zalaegerszegi,778,
Bedegkér,község,Somogy,Tabi,394,
Bedő,község,Hajdú-Bihar,Berettyóújfalui,296,
Bejcgyertyános,község,Vas,Sárvári,441,
Békás,község,Veszprém,Pápai,195,
Bekecs,község,Borsod-Abaúj-Zemplén,Szerencsi,"2,443",
Békés,város,Békés,Békési,"19,243",1
Békéscsaba,"megyeszékhely, megyei jogú város",Békés,Békéscsabai,"60,126",1
Békéssámson,község,Békés,Orosházi,"2,330",
Békésszentandrás,nagyközség,Békés,Szarvasi,"3,557",
Bekölce,község,Heves,Bélapátfalvai,591,
Bélapátfalva,város,Heves,Bélapátfalvai,"2,979",1
Bélavár,község,Somogy,Barcsi,324,1
Belecska,község,Tolna,Tamási,349,
Beled,város,Győr-Moson-Sopron,Kapuvári,"2,632",
Beleg,község,Somogy,Nagyatádi,599,1
Belezna,község,Zala,Nagykanizsai,737,
Bélmegyer,község,Békés,Békési,951,
Beloiannisz,község,Fejér,Dunaújvárosi,"1,013",
Belsősárd,község,Zala,Lenti,91,
Belvárdgyula,község,Baranya,Bólyi,389,1
Benk,község,Szabolcs-Szatmár-Bereg,Záhonyi,430,
Bénye,község,Pest,Monori,"1,226",
Bér,község,Nógrád,Pásztói,332,1
Bérbaltavár,község,Vas,Vasvári,533,1
Bercel,község,Nógrád,Balassagyarmati,"1,887",1
Beregdaróc,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,978,
Beregsurány,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,983,
Berekböszörmény,község,Hajdú-Bihar,Berettyóújfalui,"1,907",1
Berekfürdő,község,Jász-Nagykun-Szolnok,Karcagi,"1,014",
Beremend,nagyközség,Baranya,Siklósi,"2,399",
Berente,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,"1,212",1
Beret,község,Borsod-Abaúj-Zemplén,Encsi,277,1
Berettyóújfalu,város,Hajdú-Bihar,Berettyóújfalui,"14,816",1
Berhida,város,Veszprém,Várpalotai,"5,785",1
Berkenye,község,Nógrád,Rétsági,613,
Berkesd,község,Baranya,Pécsi,843,1
Berkesz,község,Szabolcs-Szatmár-Bereg,Kemecsei,854,1
Bernecebaráti,község,Pest,Szobi,880,
Berzék,község,Borsod-Abaúj-Zemplén,Miskolci,"1,113",1
Berzence,nagyközség,Somogy,Csurgói,"2,549",1
Besence,község,Baranya,Sellyei,101,
Besenyőd,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,763,
Besenyőtelek,község,Heves,Füzesabonyi,"2,577",1
Besenyszög,város,Jász-Nagykun-Szolnok,Szolnoki,"3,240",
Besnyő,község,Fejér,Dunaújvárosi,"1,693",
Beszterec,község,Szabolcs-Szatmár-Bereg,Kemecsei,"1,042",1
Bezedek,község,Baranya,Mohácsi,207,
Bezenye,község,Győr-Moson-Sopron,Mosonmagyaróvári,"1,331",
Bezeréd,község,Zala,Zalaegerszegi,120,
Bezi,község,Győr-Moson-Sopron,Győri,523,
Biatorbágy,város,Pest,Budakeszi,"12,932",
Bicsérd,község,Baranya,Szentlőrinci,"1,001",1
Bicske,város,Fejér,Bicskei,"11,984",1
Bihardancsháza,község,Hajdú-Bihar,Püspökladányi,186,
Biharkeresztes,város,Hajdú-Bihar,Berettyóújfalui,"4,147",1
Biharnagybajom,község,Hajdú-Bihar,Püspökladányi,"2,743",1
Bihartorda,község,Hajdú-Bihar,Püspökladányi,937,1
Biharugra,község,Békés,Sarkadi,936,
Bikács,község,Tolna,Paksi,454,
Bikal,község,Baranya,Komlói,705,
Biri,község,Szabolcs-Szatmár-Bereg,Nagykállói,"1,417",
Birján,község,Baranya,Pécsi,506,
Bisse,község,Baranya,Siklósi,208,
Boba,község,Vas,Celldömölki,823,
Bocfölde,község,Zala,Zalaegerszegi,"1,115",1
Boconád,község,Heves,Hevesi,"1,278",
Bócsa,község,Bács-Kiskun,Kiskőrösi,"1,823",
Bocska,község,Zala,Nagykanizsai,310,
Bocskaikert,község,Hajdú-Bihar,Hajdúhadházi,"3,170",
Boda,község,Baranya,Szentlőrinci,415,
Bodajk,város,Fejér,Móri,"4,015",
Bodmér,község,Fejér,Bicskei,235,
Bodolyabér,község,Baranya,Komlói,197,1
Bodonhely,község,Győr-Moson-Sopron,Csornai,301,
Bodony,község,Heves,Pétervásárai,731,1
Bodorfa,község,Veszprém,Sümegi,93,
Bodrog,község,Somogy,Kaposvári,426,
Bodroghalom,község,Borsod-Abaúj-Zemplén,Cigándi,"1,354",1
Bodrogkeresztúr,község,Borsod-Abaúj-Zemplén,Tokaji,"1,099",
Bodrogkisfalud,község,Borsod-Abaúj-Zemplén,Tokaji,845,
Bodrogolaszi,község,Borsod-Abaúj-Zemplén,Sárospataki,901,
Bódvalenke,község,Borsod-Abaúj-Zemplén,Edelényi,220,1
Bódvarákó,község,Borsod-Abaúj-Zemplén,Edelényi,73,
Bódvaszilas,község,Borsod-Abaúj-Zemplén,Edelényi,"1,051",
Bogács,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,"1,928",
Bogád,község,Baranya,Pécsi,989,
Bogádmindszent,község,Baranya,Sellyei,406,1
Bogdása,község,Baranya,Sellyei,248,1
Bogyiszló,község,Tolna,Tolnai,"2,134",1
Bogyoszló,község,Győr-Moson-Sopron,Csornai,609,
Bojt,község,Hajdú-Bihar,Berettyóújfalui,548,1
Bókaháza,község,Zala,Keszthelyi,253,1
Bokod,község,Komárom-Esztergom,Oroszlányi,"2,034",
Bokor,község,Nógrád,Pásztói,114,
Boldog,község,Heves,Hatvani,"2,926",1
Boldogasszonyfa,község,Baranya,Szigetvári,383,
Boldogkőújfalu,község,Borsod-Abaúj-Zemplén,Gönci,581,1
Boldogkőváralja,község,Borsod-Abaúj-Zemplén,Gönci,"1,111",1
Boldva,község,Borsod-Abaúj-Zemplén,Edelényi,"2,340",1
Bolhás,község,Somogy,Nagyatádi,418,
Bolhó,község,Somogy,Barcsi,758,1
Bóly,város,Baranya,Bólyi,"3,874",
Boncodfölde,község,Zala,Zalaegerszegi,326,
Bonyhád,város,Tolna,Bonyhádi,"13,322",1
Bonyhádvarasd,község,Tolna,Bonyhádi,407,
Bonnya,község,Somogy,Tabi,237,1
Bordány,nagyközség,Csongrád,Mórahalmi,"3,283",
Borgáta,község,Vas,Celldömölki,171,
Borjád,község,Baranya,Bólyi,400,
Borota,község,Bács-Kiskun,Jánoshalmai,"1,345",
Borsfa,község,Zala,Letenyei,708,
Borsodbóta,község,Borsod-Abaúj-Zemplén,Ózdi,883,1
Borsodgeszt,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,264,
Borsodivánka,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,719,
Borsodnádasd,város,Borsod-Abaúj-Zemplén,Ózdi,"3,185",1
Borsodszentgyörgy,község,Borsod-Abaúj-Zemplén,Ózdi,"1,195",
Borsodszirák,község,Borsod-Abaúj-Zemplén,Edelényi,"1,149",1
Borsosberény,község,Nógrád,Rétsági,941,1
Borszörcsök,község,Veszprém,Devecseri,357,1
Borzavár,község,Veszprém,Zirci,703,
Bosta,község,Baranya,Pécsi,140,1
Botpalád,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,818,1
Botykapeterd,község,Baranya,Szigetvári,339,1
Bozzai,község,Vas,Szombathelyi,323,
Bozsok,község,Vas,Kőszegi,355,
Bózsva,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,164,
Bő,község,Vas,Sárvári,715,
Bőcs,község,Borsod-Abaúj-Zemplén,Miskolci,"2,661",1
Böde,község,Zala,Zalaegerszegi,287,
Bödeháza,község,Zala,Lenti,40,
Bögöt,község,Vas,Sárvári,380,
Bögöte,község,Vas,Sárvári,275,
Böhönye,község,Somogy,Marcali,"2,254",
Bököny,község,Szabolcs-Szatmár-Bereg,Nagykállói,"3,098",
Bölcske,község,Tolna,Paksi,"2,754",1
Bőny,község,Győr-Moson-Sopron,Győri,"2,116",1
Börcs,község,Győr-Moson-Sopron,Győri,"1,295",
Börzönce,község,Zala,Nagykanizsai,48,
Bősárkány,nagyközség,Győr-Moson-Sopron,Csornai,"2,080",
Bőszénfa,község,Somogy,Kaposvári,516,
Bucsa,község,Békés,Szeghalmi,"2,170",
Bucsu,község,Vas,Szombathelyi,565,
Búcsúszentlászló,község,Zala,Zalaegerszegi,778,
Bucsuta,község,Zala,Letenyei,209,
Budajenő,község,Pest,Budakeszi,"1,881",
Budakalász,város,Pest,Szentendrei,"10,673",
Budakeszi,város,Pest,Budakeszi,"13,939",
Budaörs,város,Pest,Budakeszi,"28,394",1
Budapest,főváros ,Pest,,"1,759,407",1
Budapest 01. ker.,fővárosi kerület,főváros,Budapest 01. ker.,"25,196",1
Budapest 02. ker.,fővárosi kerület,főváros,Budapest 02. ker.,"89,903",1
Budapest 03. ker.,fővárosi kerület,főváros,Budapest 03. ker.,"130,415",1
Budapest 04. ker.,fővárosi kerület,főváros,Budapest 04. ker.,"101,558",1
Budapest 05. ker.,fővárosi kerület,főváros,Budapest 05. ker.,"26,284",1
Budapest 06. ker.,fővárosi kerület,főváros,Budapest 06. ker.,"38,504",1
Budapest 07. ker.,fővárosi kerület,főváros,Budapest 07. ker.,"53,381",1
Budapest 08. ker.,fővárosi kerület,főváros,Budapest 08. ker.,"76,811",1
Budapest 09. ker.,fővárosi kerület,főváros,Budapest 09. ker.,"59,056",1
Budapest 10. ker.,fővárosi kerület,főváros,Budapest 10. ker.,"78,414",1
Budapest 11. ker.,fővárosi kerület,főváros,Budapest 11. ker.,"151,812",1
Budapest 12. ker.,fővárosi kerület,főváros,Budapest 12. ker.,"58,171",1
Budapest 13. ker.,fővárosi kerület,főváros,Budapest 13. ker.,"120,256",1
Budapest 14. ker.,fővárosi kerület,főváros,Budapest 14. ker.,"124,841",1
Budapest 15. ker.,fővárosi kerület,főváros,Budapest 15. ker.,"80,573",1
Budapest 16. ker.,fővárosi kerület,főváros,Budapest 16. ker.,"73,486",1
Budapest 17. ker.,fővárosi kerület,főváros,Budapest 17. ker.,"87,793",1
Budapest 18. ker.,fővárosi kerület,főváros,Budapest 18. ker.,"101,738",1
Budapest 19. ker.,fővárosi kerület,főváros,Budapest 19. ker.,"60,731",1
Budapest 20. ker.,fővárosi kerület,főváros,Budapest 20. ker.,"65,321",1
Budapest 21. ker.,fővárosi kerület,főváros,Budapest 21. ker.,"76,911",1
Budapest 22. ker.,fővárosi kerület,főváros,Budapest 22. ker.,"54,611",1
Budapest 23. ker.,fővárosi kerület,főváros,Budapest 23. ker.,"23,641",1
Bugac,nagyközség,Bács-Kiskun,Kiskunfélegyházi,"2,684",
Bugacpusztaháza,község,Bács-Kiskun,Kiskunfélegyházi,253,
Bugyi,nagyközség,Pest,Dabasi,"5,111",
Buj,község,Szabolcs-Szatmár-Bereg,Ibrányi,"2,244",1
Buják,község,Nógrád,Pásztói,"2,170",1
Buzsák,község,Somogy,Fonyódi,"1,344",
Bük,város,Vas,Kőszegi,"3,579",1
Bükkábrány,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,"1,685",
Bükkaranyos,község,Borsod-Abaúj-Zemplén,Miskolci,"1,499",1
Bükkmogyorósd,község,Borsod-Abaúj-Zemplén,Ózdi,126,
Bükkösd,község,Baranya,Szentlőrinci,"1,092",1
Bükkszék,község,Heves,Pétervásárai,710,
Bükkszenterzsébet,község,Heves,Pétervásárai,"1,050",1
Bükkszentkereszt,község,Borsod-Abaúj-Zemplén,Miskolci,"1,179",
Bükkszentmárton,község,Heves,Bélapátfalvai,278,1
Bükkzsérc,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,937,
Bürüs,község,Baranya,Szigetvári,71,
Büssü,község,Somogy,Kaposvári,390,1
Büttös,község,Borsod-Abaúj-Zemplén,Encsi,161,
Cák,község,Vas,Kőszegi,254,
Cakóháza,község,Győr-Moson-Sopron,Csornai,61,
Cece,nagyközség,Fejér,Sárbogárdi,"2,570",1
Cégénydányád,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,628,
Cegléd,város,Pest,Ceglédi,"35,616",1
Ceglédbercel,község,Pest,Ceglédi,"4,235",
Celldömölk,város,Vas,Celldömölki,"10,827",1
Cered,község,Nógrád,Salgótarjáni,"1,093",1
Chernelházadamonya,község,Vas,Sárvári,192,
Cibakháza,nagyközség,Jász-Nagykun-Szolnok,Kunszentmártoni,"4,023",1
Cigánd,város,Borsod-Abaúj-Zemplén,Cigándi,"3,058",1
Cikó,község,Tolna,Bonyhádi,870,
Cirák,község,Győr-Moson-Sopron,Kapuvári,569,
Cún,község,Baranya,Siklósi,231,1
Csabacsűd,nagyközség,Békés,Szarvasi,"1,736",
Csabaszabadi,község,Békés,Békéscsabai,274,
Csabdi,község,Fejér,Bicskei,"1,204",
Csabrendek,nagyközség,Veszprém,Sümegi,"3,046",
Csáfordjánosfa,község,Győr-Moson-Sopron,Soproni,209,
Csaholc,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,572,1
Csajág,község,Veszprém,Balatonalmádi,845,
Csákány,község,Somogy,Marcali,234,
Csákánydoroszló,község,Vas,Körmendi,"1,749",
Csákberény,község,Fejér,Móri,"1,149",
Csákvár,város,Fejér,Bicskei,"5,253",
Csanádalberti,község,Csongrád,Makói,419,
Csanádapáca,község,Békés,Orosházi,"2,473",
Csanádpalota,város,Csongrád,Makói,"2,801",1
Csánig,község,Vas,Sárvári,341,
Csány,község,Heves,Hatvani,"2,065",1
Csányoszró,község,Baranya,Sellyei,642,1
Csanytelek,község,Csongrád,Csongrádi,"2,552",1
Csapi,község,Zala,Nagykanizsai,172,
